ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
876,SaareLoodusspaaOÃœ(16262044),16262044.0,Private limited company,Enteredintotheregister,02.07.2021,Capitalis2Â 500Â â‚¬,Saare maakond Saaremaa vald Ninase kÃ¼la Taga-Kuuli/2 93613,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,\n                                        Janne Koovisk\n,100.00%,\n                                    2500.00 EUR,\n                                Janne Koovisk\n,\n                                Management board member\n,02.07.2021,
877,SacheonAerospaceManufacturingInd.COOÃœ(14486271),14486271.0,Private limited company,Enteredintotheregister,10.05.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Ahtri tn 3 10151,Forwarding agencies services,52291 (EMTAK 2008),52.29,\n                                        Tiit Tjulkin\n,100.00%,\n                                    2500.00 EUR,\n                                Tiit Tjulkin\n,\n                                Management board member\n,10.05.2018,
878,SafeSpaceAfricaOÃœ(16380482),16380482.0,Private limited company,Enteredintotheregister,02.12.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Narva mnt 5 10117,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.9,\n                                        Zawadhafsa Mustafa Mkulo\n,100.00%,\n                                    2500.00 EUR,\n                                Zawadhafsa Mustafa Mkulo\n,\n                                Management board member\n,02.12.2021,
879,SafeSpaceOÃœ(16158855),16158855.0,Private limited company,Enteredintotheregister,10.02.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Pirita linnaosa Salu tee 18 12111,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.9,\n                                        Kateryna Dedukh\n,100.00%,\n                                    2500.00 EUR,\n                                Kateryna Dedukh\n,\n                                Management board member\n,10.02.2021,
880,SakaMÃµisOÃœ(10860821),10860821.0,Private limited company,Enteredintotheregister,16.04.2002,Capitalis2Â 556Â â‚¬,Ida-Viru maakond Toila vald Saka kÃ¼la Saka mÃµis 30103,Hotels,55101 (EMTAK 2008),55.1,\n                                        T\xc3\xb5nis Kaasik\n,100.00%,\n                                    2556.00 EUR,\n                                T\xc3\xb5nis Kaasik\n,\n                                Management board member\n,20.12.2005,
881,SakuSeiklusparkOÃœ(11623804),11623804.0,Private limited company,Deleted,01.04.2009,,,,,,,,,,,,04.06.2013
882,SalesPartner4UOÃœ(12930968),12930968.0,Private limited company,Enteredintotheregister,16.10.2015,Capitalis2Â 500Â â‚¬,,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,\n                                        Erik K\xc3\xb5vatomas\n,100.00%,\n                                    2500.00 EUR,\n                                Erik K\xc3\xb5vatomas\n,\n                                Management board member\n,16.10.2015,
883,ASSampoPank(10040839),10040839.0,Public limited company,Deleted,31.05.1996,,,,,,,,,,,,04.06.2008
884,SatellesPalleneOÃœ(16247576),16247576.0,Private limited company,Enteredintotheregister,08.06.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa J. Vilmsi tn 47 10115,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,\n                                        Aleksandra Hlebnikova-Stepanova\n,100.00%,\n                                    2500.00 EUR,\n                                Roman Stepanov\n,\n                                Management board member\n,08.06.2021,
885,OÃœSatrianAerospace(12386714),12386714.0,Private limited company,Enteredintotheregister,03.12.2012,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Volta tn 7 10411,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Andrus Aaslaid\n,100.00%,\n                                    2500.00 EUR,\n                                Andrus Aaslaid\n,\n                                Management board member\n,03.12.2012,
886,ScandinavianSparePartsOÃœ(12176158),12176158.0,Private limited company,Enteredintotheregister,13.10.2011,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa Laki tn 30-302/3 12915,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Nils Jonas Ljung\n,100.00%,\n                                    2500.00 EUR,\n                                Nils Jonas Ljung\n,\n                                Management board member\n,14.02.2018,
887,Scoutspataljon(70007162),70007162.0,Agency of the Executive or other state institution,Deleted,10.08.2004,,,,,,,,,,,,19.06.2008
888,OÃœSCÃ–VETKEZETCESPANY(11206354),11206354.0,Private limited company,Deleted,27.12.2005,,,,,,,,,,,,28.12.2010
889,SeaofSPAEestiOÃœ(11097103),11097103.0,Private limited company,,12.01.2005,Capitalis40Â 000Â EEK,Harju maakond Tallinn NÃµmme linnaosa Suvila tn 41-1 10912,Retail sale of cosmetic and toilet articles in specialised stores,47751 (EMTAK 2008),47.75,"\n                                        Vahur Glaase\n, \n                                        Mati Maanas\n, \n                                        Israel Dranov\n","35.00%, 35.00%, 30.00%","\n                                    14000.00 EEK, \n                                    14000.00 EEK, \n                                    12000.00 EEK",\n                                Vahur Glaase\n,\n                                Liquidator\n,06.02.2012,
890,aktsiaseltsSEBElu-jaPensionikindlustus(10525330),10525330.0,Public limited company,Deleted,21.01.1999,,,,,,,,,,,,04.02.2020
891,MittetulundusÃ¼hingSEBHeategevusfond(80231417),80231417.0,Non-profit association,Enteredintotheregister,06.01.2006,,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 2 15010,Other social work activities without accommodation n.e.c.,88991 (EMTAK 2008),88.99,,,,\n                                Triin Messimas\n,\n                                Management board member\n,18.03.2020,
892,ASSEBPank(10004252),10004252.0,Public limited company,Enteredintotheregister,08.12.1995,Capitalis42Â 541Â 115Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 2 15010,Credit institutions (banks),64191 (EMTAK 2008),64.19,,,,\n                                Ainar Lepp\xc3\xa4nen\n,\n                                Management board member\n,04.05.2016,
893,AKTSIASELTSSEBVARAHALDUS(10035169),10035169.0,Public limited company,Enteredintotheregister,22.05.1996,Capitalis3Â 035Â 803.31Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 2 15010,Fund management activities,66301 (EMTAK 2008),66.3,,,,\n                                Imanta H\xc3\xbctt\n,\n                                Management board member\n,12.06.2013,
894,SecSysEUOÃœ(11711493),11711493.0,Private limited company,Deleted,02.09.2009,,,,,,,,,,,,10.05.2013
895,SeiklusparkOÃœ(11227787),11227787.0,Private limited company,Enteredintotheregister,14.03.2006,Capitalis2Â 550Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Liiviku tn 4 10919,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,"\n                                        Vahur Teder\n, \n                                        Pierre Simon Gay-Perret\n, \n                                        Kalmer Kiibus\n","62.51%, 31.25%, 6.24%","\n                                    1594.00 EUR, \n                                    797.00 EUR, \n                                    159.00 EUR",\n                                Kalmer Kiibus\n,\n                                Management board member\n,26.02.2021,
896,SeikluspartnerOÃœ(12795022),12795022.0,Private limited company,Deleted,05.02.2015,,,,,,,,,,,,09.05.2019
897,SemiramiseaiadSpaOsaÃ¼hing(16585540),16585540.0,Private limited company,Enteredintotheregister,03.10.2022,Capitalis2Â 500Â â‚¬,Harju maakond Viimsi vald Pringi kÃ¼la RannavÃ¤lja tee 1 74011,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,"\n                                        Fred Kangur\n, \n                                        Riho Kangur\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Fred Kangur\n,\n                                Management board member\n,03.10.2022,
898,SEOCyberspaceEuropeOÃœ(11182949),11182949.0,Private limited company,Deleted,03.11.2005,,,,,,,,,,,,06.09.2017
899,Sepa-Spalletalu(10201509),10201509.0,Sole trader,Enteredintotheregister,17.04.1997,,Rapla maakond Kehtna vald Nadalama kÃ¼la Sepa 79001,Silviculture and other forestry activities,02101 (EMTAK 2008),2.1,,,,\n                                T\xc3\xb5nis Spalle\n,\n                                Sole trader\n,02.01.2006,
900,SERGEISPASSKI(11188366),11188366.0,Sole trader,Deleted,11.11.2005,,,,,,,,,,,,05.03.2018
901,AktsiaseltsServanda(10282169),10282169.0,Public limited company,Deleted,06.10.1997,,,,,,,,,,,,21.02.2001
902,ShaktihouseOÃœ(12140427),12140427.0,Private limited company,Enteredintotheregister,29.07.2011,Capitalis2Â 508Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa A. Weizenbergi tn 2-4 10150,Other sports and recreational education,85519 (EMTAK 2008),85.51,\n                                        Marina Potjomkina\n,100.00%,\n                                    2508.00 EUR,\n                                Aleksandr Gu\xc5\xbeov\n,\n                                Management board member\n,02.04.2012,
903,OÃœShnelliSpa(11710762),11710762.0,Private limited company,Enteredintotheregister,01.09.2009,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Toompuiestee 37 10149,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,\n                                        K\xc3\xa4di Viitra\n,100.00%,\n                                    2556.00 EUR,\n                                K\xc3\xa4di Viitra\n,\n                                Management board member\n,16.11.2011,
904,MTÃœSidusAespa-Roobuka(80584667),80584667.0,Non-profit association,Enteredintotheregister,02.09.2020,,Harju maakond Saku vald Roobuka kÃ¼la Astra tee 82 75516,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,,,,\n                                Tiina Mesila\n,\n                                Management board member\n,02.09.2020,
905,SilberspaceUÃœ(12749424),12749424.0,Limited partnership,Enteredintotheregister,07.11.2014,,Tartu maakond Tartu linn Tartu linn Ãœlikooli tn 6a-610 51003,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,,,,\n                                La Vita Lusso O\xc3\x9c\n,\n                                General partner\n,07.11.2014,
906,SilvaAnspal(11770422),11770422.0,Sole trader,Enteredintotheregister,11.11.2009,,JÃ¤rva maakond Paide linn Roosna-Alliku alevik Pargi tn 10 73201,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,,,,\n                                Silva Anspal\n,\n                                Sole trader\n,11.11.2009,
907,OÃœSILVERSPACE(12025494),12025494.0,Private limited company,Deleted,01.12.2010,,,,,,,,,,,,22.10.2014
908,SilverSparkOÃœ(11559673),11559673.0,Private limited company,Deleted,18.12.2008,,,,,,,,,,,,25.09.2015
909,SindiTÃ¶Ã¶stusparkOÃœ(16564443),16564443.0,Private limited company,Enteredintotheregister,31.08.2022,Capitalis2Â 500Â â‚¬,PÃ¤rnu maakond Tori vald Sindi linn PÃ¤rnu mnt 50 86703,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,"\n, \n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Tiit Talvaru\n,\n                                Management board member\n,31.08.2022,
910,SinuHalduspartnerOÃœ(11661101),11661101.0,Private limited company,Enteredintotheregister,26.05.2009,Capitalis40Â 000Â EEK,Harju maakond Tallinn Kesklinna linnaosa Koidu tn 68b-4 10122,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,\n                                        Marek Pokk\n,100.00%,\n                                    40000.00 EEK,\n                                Marek Pokk\n,\n                                Management board member\n,26.05.2009,
911,SinuKoolituspartnerOÃœ(11099488),11099488.0,Private limited company,Enteredintotheregister,27.01.2005,Capitalis2Â 558Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa Vabaduse pst 164-1 10917,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,"\n                                        Mairi Tamm\n, \n                                        Triin Juhanson\n","50.00%, 50.00%","\n                                    1279.00 EUR, \n                                    1279.00 EUR",\n                                Mairi Tamm\n,\n                                Management board member\n,27.01.2005,
912,SkinSpaOÃœ(12130498),12130498.0,Private limited company,Deleted,06.07.2011,,,,,,,,,,,,07.12.2015
913,S&KRakkennuspalveluOÃœ(11956339),11956339.0,Private limited company,Deleted,16.06.2010,,,,,,,,,,,,26.07.2013
914,SkyAutoSpaOÃœ(11132167),11132167.0,Private limited company,Enteredintotheregister,24.05.2005,Capitalis2Â 556Â â‚¬,Viljandi maakond Viljandi linn Riia mnt 17-23 71010,Car washing and other services,45202 (EMTAK 2008),45.2,\n                                        ALO AARELA\n,100.00%,\n                                    2556.00 EUR,\n                                Alo Aarela\n,\n                                Management board member\n,10.03.2014,
